id,scopus_id,doi,title,prompt_name,prompt_hash,model,temperature,llm_output,llm_label
SCOPUS_ID:84895890934,SCOPUS_ID:84895890934,10.1093/aje/kwt327,"Trends in alcohol and other drugs detected in fatally injured drivers in the United States, 1999-2010",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:78650633722,SCOPUS_ID:78650633722,10.1093/aje/kwq345,"Adult body size, hormone receptor status, and premenopausal breast cancer risk in a multiethnic population",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0032978484,SCOPUS_ID:0032978484,10.2105/AJPH.89.2.171,"The impact of physician bonuses, enhanced fees, and feedback on childhood immunization coverage rates",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0032931075,SCOPUS_ID:0032931075,10.1093/oxfordjournals.aje.a009723,Prospective study of diet and ovarian cancer,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:85066260594,SCOPUS_ID:85066260594,10.1016/S2468-2667(19)30018-0,"Geospatial, racial, and educational variation in firearm mortality in the USA, Mexico, Brazil, and Colombia, 1990â€“2015: a comparative analysis of vital statistics data",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:85088828588,SCOPUS_ID:85088828588,10.1007/s10654-020-00665-w,Body mass index in young adulthood and risk of subsequent dementia at different levels of intelligence and education in Danish men,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:85054204629,SCOPUS_ID:85054204629,10.1093/aje/kwy091,"Ramadan Exposure in Utero and Child Mortality in Burkina Faso: Analysis of a Population-Based Cohort Including 41,025 Children",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:69549088896,SCOPUS_ID:69549088896,10.1097/EDE.0b013e3181ad5522,Extreme high temperatures and hospital admissions for respiratory and cardiovascular diseases,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:84946734426,SCOPUS_ID:84946734426,10.2105/AJPH.2015.302611,Health care disparities in the post-affordable care act era,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:84912129265,SCOPUS_ID:84912129265,10.1016/j.amepre.2014.08.009,"Adult vaccination disparities among foreign-born populations in the u.s., 2012",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0025121054,SCOPUS_ID:0025121054,10.2105/AJPH.80.9.1101,The effects of workplace health promotion on absenteeism and employment costs in a large industrial population,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:45549105637,SCOPUS_ID:45549105637,10.2105/AJPH.2007.121137,Prevalence of chronic diseases and multimorbidity among the elderly population in Sweden,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:84875598366,SCOPUS_ID:84875598366,10.1093/ije/dys214,Consistently high estimates for the proportion of human exposure to malaria vector populations occurring indoors in rural Africa,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:85045210606,SCOPUS_ID:85045210606,10.1016/j.amepre.2018.01.008,Changes in School Food Preparation Methods Result in Healthier Cafeteria Lunches in Elementary Schools,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0031194498,SCOPUS_ID:0031194498,10.1006/pmed.1997.0151,Epidemiology of low total plasma cholesterol concentration among young adults: The CARDIA study,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0029924623,SCOPUS_ID:0029924623,10.1097/00001648-199605000-00011,Silica and aluminum in drinking water and cognitive impairment in the elderly,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0141997855,SCOPUS_ID:0141997855,10.1093/aje/kwg218,"Differences in body shape representations among young adults from a biracial (Black-White), semirural community: The Bogalusa Heart Study",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:85102828933,SCOPUS_ID:85102828933,10.1016/j.ypmed.2021.106507,Associations between indicators of energy intake and expenditure with excess weight and obesity among women in sedentary and less-sedentary jobs,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:85195147269,SCOPUS_ID:85195147269,10.1007/s10654-024-01134-4,Trends in incidence and mortality of early-onset cancer in Germany between 1999 and 2019,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:0037209068,SCOPUS_ID:0037209068,10.1097/00001648-200301000-00009,The effect of concurvity in generalized additive models linking mortality to ambient particulate matter,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:85097113376,SCOPUS_ID:85097113376,10.1093/aje/kwaa139,Incidence Correction Factors for Moderate and Severe Acute Child Malnutrition from 2 Longitudinal Cohorts in Mali and Burkina Faso,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:70249102791,SCOPUS_ID:70249102791,10.1093/aje/kwp179,Determinants of first puff and daily cigarette smoking in adolescents,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:0031689886,SCOPUS_ID:0031689886,10.1016/S0749-3797(98)00049-X,Costs of maternal conditions attributable to smoking during pregnancy,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:85149642428,SCOPUS_ID:85149642428,10.2105/AJPH.2022.307207,"Housing Instability and Evictions Linked to Elevated Intimate Partner and Workplace Violence Among Women Sex Workers in Vancouver, Canada: Findings of a Prospective, Community-Based Cohort, 2010-2019",.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:85123459610,SCOPUS_ID:85123459610,10.1093/ije/dyab095,Maternal smoking and smokeless tobacco use during pregnancy and offspring development: Sibling analysis in an intergenerational Swedish cohort,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0028784286,SCOPUS_ID:0028784286,10.1093/oxfordjournals.aje.a117747,Preschool physical activity level and change in body fatness in young children: The framingham children's study,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0028286476,SCOPUS_ID:0028286476,10.1136/jech.48.3.313,Estimating confidence limits on a standardised mortality ratio when the expected number is not error free,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0028997640,SCOPUS_ID:0028997640,10.2105/AJPH.85.6.854,A preventive child health program: The effect of telephone and home visits by public health nurses,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:78650909890,SCOPUS_ID:78650909890,10.2105/AJPH.2009.182287,Potential national and state medical care savings from primary disease prevention,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:0026733346,SCOPUS_ID:0026733346,10.1093/oxfordjournals.aje.a116486,Childhood weight and growth rate as predictors of adult mortality,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:0041509097,SCOPUS_ID:0041509097,10.1093/aje/kwg150,Searching for disease-susceptibility loci by testing for Hardy-Weinberg disequilibrium in a gene bank of affected individuals,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:33750628586,SCOPUS_ID:33750628586,10.1136/jech.2005.043182,Validity of age at menarche self-reported in adulthood,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:34247537778,SCOPUS_ID:34247537778,10.1093/ije/dyl267,Are socially disadvantaged neighbourhoods deprived of health-related community resources?,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0034541277,SCOPUS_ID:0034541277,10.1093/aje/152.11.1072,Validation of three food frequency questionnaires and 24-hour recalls with serum carotenoid levels in a sample of African-American adults,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:0344117621,SCOPUS_ID:0344117621,10.1093/eurpub/9.3.181,Physician recommendations for coronary revascularization: Variations by clinical speciality,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": true}",YES
SCOPUS_ID:32344440035,SCOPUS_ID:32344440035,10.1016/j.amepre.2005.11.001,Cigarette promotional offers: Who takes advantage?,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
SCOPUS_ID:84885841557,SCOPUS_ID:84885841557,10.1016/j.ypmed.2013.07.007,Who uses new walking and cycling infrastructure and how? Longitudinal results from the UK iConnect study,.1_run2,4d5748db0b6b,deepseek-chat,0.1,"{""policy_claim"": false}",NO
