abstract_id,pattern_index,pattern,matched_text,context
SCOPUS_ID:85102291447,1,policymakers?\s+should,Policymakers should,...essively when more of them hold private coverage. Policymakers should keep these broader considerations and more diffus...
SCOPUS_ID:85050362607,0,policies?\s+should,policies should,...eriods are not affected. The results suggest that policies should aim to reduce excessively long waits in order to ...
SCOPUS_ID:85027697325,0,policies?\s+should,policies should,...tting directions. We suggest that alcohol control policies should be more nuanced to target alcohol consumption in ...
SCOPUS_ID:85041407027,1,policymakers?\s+should,policymakers should,... empirical specifications. Our conclusion is that policymakers should consider shifting away from mandating coverage as...
SCOPUS_ID:85019122141,42,public\s+policy\s+(must|should|needs\s+to),Public policy should,...alises already for short periods of unemployment. Public policy should hence focus on early prevention of mental health ...
SCOPUS_ID:84949907723,42,public\s+policy\s+(must|should|needs\s+to),public policy should,"...immunization rates, then our results suggest that public policy should concentrate on providing easily accessible and co..."
SCOPUS_ID:84949527936,50,(critical|essential|imperative|necessary|important)\s+that\s+.+(policy|government|policymakers),essential that national policies improve the quality of administrative datasets and address systemic problems in assigning identification numbers at birth. European policy,...ity are significant risk factors for death. It is essential that national policies improve the quality of administrative datasets and address systemic problems in assigning identification numbers at birth. European policy should aim at improving the comparability of data...
SCOPUS_ID:84864136496,1,policymakers?\s+should,policymakers should,"...e classification variables. In several countries, policymakers should reevaluate the appropriateness of their DRG algor..."
SCOPUS_ID:68849086742,1,policymakers?\s+should,Policymakers should,...ubsidies from being passed on to rural customers. Policymakers should consider the potential to maintain lower retail p...
SCOPUS_ID:85179359342,2,government\s+(must|should),government should,...tant to alleviate the costs of informal care. The government should strengthen support for informal caregivers and ca...
SCOPUS_ID:85171127472,1,policymakers?\s+should,policymakers should,"...used for direct investments. Moreover, healthcare policymakers should evaluate whether the increase in risk surplus com..."
SCOPUS_ID:85162875149,1,policymakers?\s+should,Policymakers should,"...ltruism towards patients and society play a role. Policymakers should, therefore, consider targeting all provider motiv..."
SCOPUS_ID:85148349798,2,government\s+(must|should),government should,...they perceive their relatives as trustworthy. The government should therefore consider individuals’ heterogeneity in ...
SCOPUS_ID:85146092799,1,policymakers?\s+should,policymakers should,...ic and clinical background of women. Managers and policymakers should consider these findings to understand how women b...
SCOPUS_ID:85130727337,0,policies?\s+should,policies should,...n this health indicator. This implies that health policies should look beyond economic factors and focus also on so...
SCOPUS_ID:85071459539,1,policymakers?\s+should,Policymakers should,...al variations in the cost-effectiveness analysis. Policymakers should provide hospitals with resources and strong incen...
SCOPUS_ID:85066036308,0,policies?\s+should,policies should,"...alth and inequalities in access. As a first step, policies should try to decrease financial burden of vulnerable gr..."
SCOPUS_ID:84945290033,1,policymakers?\s+should,policymakers should,"...expect from the sum of each single policy. Hence, policymakers should be very careful in designing mixed policies for t..."
SCOPUS_ID:84929120507,1,policymakers?\s+should,policymakers should,"...ore frequently in France than in other countries, policymakers should prioritize targeted efforts to reduce them...."
SCOPUS_ID:84898541017,0,policies?\s+should,policies should,"...n development and economic prosperity. Hence, the policies should be contingent on the prevailing levels of develop..."
SCOPUS_ID:84897854597,0,policies?\s+should,policies should,"..., in order to combat the obesity epidemic, health policies should focus on poorer females and economically well-off..."
SCOPUS_ID:84861185856,0,policies?\s+should,policies should,...irds of the total cost of care. Conclusion Public policies should pay more attention to inequalities in access to c...
SCOPUS_ID:85028912986,0,policies?\s+should,policies should,"...ng Europeans, when the economy worsens, anti-drug policies should focus on the reduction of poverty and unemploymen..."
