pattern_index,pattern,match_count,unique_abstracts,abstract_ids
1,policymakers?\s+should,134,132,"['SCOPUS_ID:85102291447', 'SCOPUS_ID:85041407027', 'SCOPUS_ID:84864136496', 'SCOPUS_ID:68849086742', 'SCOPUS_ID:85171127472', 'SCOPUS_ID:85162875149', 'SCOPUS_ID:85146092799', 'SCOPUS_ID:85071459539', 'SCOPUS_ID:84945290033', 'SCOPUS_ID:84929120507']"
0,policies?\s+should,128,127,"['SCOPUS_ID:85050362607', 'SCOPUS_ID:85027697325', 'SCOPUS_ID:85130727337', 'SCOPUS_ID:85066036308', 'SCOPUS_ID:84898541017', 'SCOPUS_ID:84897854597', 'SCOPUS_ID:84861185856', 'SCOPUS_ID:85028912986', 'SCOPUS_ID:0027323817', 'SCOPUS_ID:85185561018']"
8,interventions?\s+should\s+(focus|target|address|prioritize),54,53,"['SCOPUS_ID:85062978052', 'SCOPUS_ID:85189093713', 'SCOPUS_ID:85149694123', 'SCOPUS_ID:85135711747', 'SCOPUS_ID:85073574826', 'SCOPUS_ID:85068770012', 'SCOPUS_ID:85008146356', 'SCOPUS_ID:67649595575', 'SCOPUS_ID:29644434846', 'SCOPUS_ID:85140240286']"
2,government\s+(must|should),44,44,"['SCOPUS_ID:85179359342', 'SCOPUS_ID:85148349798', 'SCOPUS_ID:85079372601', 'SCOPUS_ID:85127761932', 'SCOPUS_ID:33644829474', 'SCOPUS_ID:33644818412', 'SCOPUS_ID:84949238943', 'SCOPUS_ID:84880802147', 'SCOPUS_ID:0028965064', 'SCOPUS_ID:77953588726']"
37,action\s+is\s+needed,21,21,"['SCOPUS_ID:85210176480', 'SCOPUS_ID:84920049859', 'SCOPUS_ID:0032892294', 'SCOPUS_ID:85188896640', 'SCOPUS_ID:85027833011', 'SCOPUS_ID:85151574693', 'SCOPUS_ID:85136908302', 'SCOPUS_ID:76249090324', 'SCOPUS_ID:85046797488', 'SCOPUS_ID:0036830744']"
50,(critical|essential|imperative|necessary|important)\s+that\s+.+(policy|government|policymakers),15,15,"['SCOPUS_ID:84949527936', 'SCOPUS_ID:36949007225', 'SCOPUS_ID:85040464186', 'SCOPUS_ID:85049344685', 'SCOPUS_ID:85168604442', 'SCOPUS_ID:85118314974', 'SCOPUS_ID:85046730624', 'SCOPUS_ID:84901989847', 'SCOPUS_ID:85086584575', 'SCOPUS_ID:85074107012']"
9,public\s+health\s+interventions?\s+should,12,12,"['SCOPUS_ID:85103429961', 'SCOPUS_ID:85021940804', 'SCOPUS_ID:85013428420', 'SCOPUS_ID:84949670932', 'SCOPUS_ID:84930210030', 'SCOPUS_ID:84916890286', 'SCOPUS_ID:84893405508', 'SCOPUS_ID:70350058669', 'SCOPUS_ID:85064317612', 'SCOPUS_ID:80054745703']"
16,policy\s+should\s+(prioritize|focus\s+on|address),7,7,"['SCOPUS_ID:85166733005', 'SCOPUS_ID:85028849484', 'SCOPUS_ID:0036583127', 'SCOPUS_ID:84892586600', 'SCOPUS_ID:84856428200', 'SCOPUS_ID:63749090134', 'SCOPUS_ID:0031974826']"
42,public\s+policy\s+(must|should|needs\s+to),7,7,"['SCOPUS_ID:85019122141', 'SCOPUS_ID:84949907723', 'SCOPUS_ID:59049095966', 'SCOPUS_ID:84984698429', 'SCOPUS_ID:85166783640', 'SCOPUS_ID:85062416557', 'SCOPUS_ID:0036583127']"
4,we\s+(call\s+for|recommend|urge)\s+policy,6,6,"['SCOPUS_ID:85074549643', 'SCOPUS_ID:84960454314', 'SCOPUS_ID:80051489943', 'SCOPUS_ID:0037363545', 'SCOPUS_ID:84905011699', 'SCOPUS_ID:85074829790']"
