abstract_id,pattern_index,pattern,matched_text,context
SCOPUS_ID:85102291447,1,policymakers?\s+should,Policymakers should,...essively when more of them hold private coverage. Policymakers should keep these broader considerations and more diffus...
SCOPUS_ID:85050362607,0,policies\s+should,policies should,...eriods are not affected. The results suggest that policies should aim to reduce excessively long waits in order to ...
SCOPUS_ID:85027697325,0,policies\s+should,policies should,...tting directions. We suggest that alcohol control policies should be more nuanced to target alcohol consumption in ...
SCOPUS_ID:85041407027,1,policymakers?\s+should,policymakers should,... empirical specifications. Our conclusion is that policymakers should consider shifting away from mandating coverage as...
SCOPUS_ID:84949527936,4,it\s+is\s+(critical|essential|imperative|necessary)\s+that,It is essential that,...n density are significant risk factors for death. It is essential that national policies improve the quality of administ...
SCOPUS_ID:84864136496,1,policymakers?\s+should,policymakers should,"...e classification variables. In several countries, policymakers should reevaluate the appropriateness of their DRG algor..."
SCOPUS_ID:68849086742,1,policymakers?\s+should,Policymakers should,...ubsidies from being passed on to rural customers. Policymakers should consider the potential to maintain lower retail p...
SCOPUS_ID:85171127472,1,policymakers?\s+should,policymakers should,"...used for direct investments. Moreover, healthcare policymakers should evaluate whether the increase in risk surplus com..."
SCOPUS_ID:85162875149,1,policymakers?\s+should,Policymakers should,"...ltruism towards patients and society play a role. Policymakers should, therefore, consider targeting all provider motiv..."
SCOPUS_ID:85146092799,1,policymakers?\s+should,policymakers should,...ic and clinical background of women. Managers and policymakers should consider these findings to understand how women b...
SCOPUS_ID:85130727337,0,policies\s+should,policies should,...n this health indicator. This implies that health policies should look beyond economic factors and focus also on so...
SCOPUS_ID:85071459539,1,policymakers?\s+should,Policymakers should,...al variations in the cost-effectiveness analysis. Policymakers should provide hospitals with resources and strong incen...
SCOPUS_ID:85066036308,0,policies\s+should,policies should,"...alth and inequalities in access. As a first step, policies should try to decrease financial burden of vulnerable gr..."
SCOPUS_ID:84945290033,1,policymakers?\s+should,policymakers should,"...expect from the sum of each single policy. Hence, policymakers should be very careful in designing mixed policies for t..."
SCOPUS_ID:84929120507,1,policymakers?\s+should,policymakers should,"...ore frequently in France than in other countries, policymakers should prioritize targeted efforts to reduce them...."
SCOPUS_ID:84898541017,0,policies\s+should,policies should,"...n development and economic prosperity. Hence, the policies should be contingent on the prevailing levels of develop..."
SCOPUS_ID:84897854597,0,policies\s+should,policies should,"..., in order to combat the obesity epidemic, health policies should focus on poorer females and economically well-off..."
SCOPUS_ID:84861185856,0,policies\s+should,policies should,...irds of the total cost of care. Conclusion Public policies should pay more attention to inequalities in access to c...
SCOPUS_ID:84858708363,3,policy\s+(makers|decisions|interventions|recommendations)\s+should,policy makers should,"...f the organisation of ambulatory care, we suggest policy makers should particularly concentrate on promoting the supply ..."
SCOPUS_ID:85028912986,0,policies\s+should,policies should,"...ng Europeans, when the economy worsens, anti-drug policies should focus on the reduction of poverty and unemploymen..."
SCOPUS_ID:85013372258,1,policymakers?\s+should,policymakers should,"...with low educational attainment. We conclude that policymakers should consider devoting more, not fewer, resources to t..."
SCOPUS_ID:0036852206,24,policy .* (has failed|has not been effective|is ineffective),"policy mistakes. If Medicare behaves strategically in the presence of private payers, it can free-ride on the private payer and set its prices too low. Our paper has many testable implications, including a new hypothesis for why Medicare has failed","...under some circumstances, repair Medicare payment policy mistakes. If Medicare behaves strategically in the presence of private payers, it can free-ride on the private payer and set its prices too low. Our paper has many testable implications, including a new hypothesis for why Medicare has failed to gain acceptance of health plans in the US. © 2..."
