review_id,source_row_index,scopus_id,doi,title,journal,publication_year,design_strict,design_keywords,design_combined,llm_policy_claim,keywords,abstract,manual_is_cross_sectional,manual_unclear,manual_exclude,manual_notes
CS-001,38838,SCOPUS_ID:85174971658,10.1136/jech-2023-220793,"Prepayment meters strongly associated with multiple types of deprivation and emergency respiratory hospital admissions: an observational, cross-sectional study",Journal of Epidemiology and Community Health,2023,Cross-sectional,Other/None,Cross-sectional,FALSE,"['deprivation', 'health inequalities', 'policy', 'public health', 'social sciences']","Background Prepayment meters (PPMs) require energy to be paid in advance. Action groups and media contend that PPMs are concentrated in the most vulnerable groups, prone to run out of credit and experience financial burden. This led to forced installation for those over age 85 being banned in April 2023 and a 'prepayment premium' scrapped in July 2023. Yet, we lack empirical evidence of which groups PPMs are concentrated. This ecological study examines the extent to which PPMs are associated with multiple measures of structural social, economic and health deprivation to establish evidence-based policy. Methods Combining multiple regional data and census estimates at the Lower Layer Super Output Area and the Middle Layer Super Output Area level from England and Wales, we use Spearman's rank correlation, Pearson correlation and multivariate linear regression to empirically establish associations between PPMs and multiple types of deprivation. Results Higher PPM prevalence is strongly associated with: lower income, receipt of employment benefits, ethnic minorities, lower education and higher health deprivation. Higher PPM prevalence is strongly associated with higher income deprivation affecting children, the elderly and social rental properties. PPMs are significantly associated with emergency hospital admissions for respiratory diseases in England, even after controlling for confounders (coefficient=1.81; 95% CI 1.51 to 2.11). Conclusions We found empirical evidence that PPM users are concentrated among the population who already experience multiple disadvantages. Furthermore, PPM concentrated areas are associated with higher emergency hospital admissions for respiratory diseases.",no,no,no,ecological study
CS-002,35281,SCOPUS_ID:0029932981,10.1136/jech.50.3.258,"Physical activity, physical fitness, blood pressure, and fibrinogen in the Northern Ireland health and activity survey",Journal of Epidemiology and Community Health,1996,Cross-sectional,Other/None,Cross-sectional,FALSE,[],"Study objective - To investigate the relationship between physical activity, physical fitness, blood pressure, and fibrinogen. Design - This was a cross sectional population study using a two stage probability sample. Setting - Northern Ireland. Participants - A sample of 1600 subjects aged 16-74 years from the population of Northern Ireland. Main outcome measures - Physical activity profile from computer assisted interview using the Allied Dunbar national fitness survey scales. Physical fitness using estimation of VO2 max by extrapolation from submaximal oxygen uptake while walking on a motor driven treadmill. Systolic and diastolic blood pressure measured with a Hawksley random zero sphygmomanometer. Measurement of fibrinogen using the Clauss method. Main results - There were significant relationships between both current and past activity and blood pressure. These were of a magnitude that would have been clinically significant, but for the fact that, with the exception of the relationship between habitual activity and diastolic pressure (p = 0.03) and past activity and systolic pressure (p = 0.03) in men, they were not sustained after adjustment for the effect of age using analysis of variance. After adjustment for other potentially confounding factors using multiple regression, there was an inverse relationship between systolic blood pressure and past activity in men, so that those with a lifetime of participation compared with a lifetime of inactivity had a lower systolic blood pressure of 6 mmHg (p < 0.05). There was a highly significant (p < 0.001) inverse association between both systolic and diastolic blood pressure and physical fitness (VO2 max) which was not sustained after adjustment for possible confounding factors. There were relationships between fibrinogen and highest recorded activity (p < 0.001), habitual activity (p < 0.01), and past activity (p < 0.01) in men but no significant relationship in women. The relationship between fibrinogen and activity was no longer sustained after adjustment for possible confounding factors. There was a highly significant (p < 0.001) inverse relationship with physical fitness using VO2 max. This relationship was sustained after adjustment for possible confounding factors in both men (p < 0.05) and women (p < 0.001). Conclusions - There was a relationship between physical activity, physical fitness, and blood pressure but the relationship was greatly influenced by age. A reduction of 6 mmHg in systolic blood pressure associated with past activity is of clinical significance and supports the hypothesis that physical activity is of benefit in reducing cardiovascular risk. There was a lower level of fibrinogen in those who were most active but this relationship was not significant after adjustment for possible confounding factors. There was also a lower level of fibrinogen those who were most fit (VO2 max) and this relationship persisted even after adjustment for possible confounding factors.",yes,no,no,
CS-003,9895,SCOPUS_ID:77955301482,10.1016/j.amepre.2010.03.016,The effect of light rail transit on body mass index and physical activity,American Journal of Preventive Medicine,2010,Cross-sectional,Other/None,Cross-sectional,TRUE,[],"Background: The built environment can constrain or facilitate physical activity. Most studies of the health consequences of the built environment face problems of selection bias associated with confounding effects of residential choice and transportation decisions. Purpose: To examine the cross-sectional associations between objective and perceived measures of the built environment; BMI; obesity (BMI>30 kg/m2); and meeting weekly recommended physical activity (RPA) levels through walking and vigorous exercise. To assess the effect of using light rail transit (LRT) system on BMI, obesity, and weekly RPA levels. Methods: Data were collected on individuals before (July 2006February 2007) and after (March 2008July 2008) completion of an LRT system in Charlotte NC. BMI, obesity, and physical activity levels were calculated for a comparison of these factors pre- and post-LRT construction. A propensity score weighting approach adjusted for differences in baseline characteristics among LRT and non-LRT users. Data were analyzed in 2009. Results: More-positive perceptions of one's neighborhood at baseline were associated with a -0.36 (p<0.05) lower BMI; 15% lower odds (95% CI=0.77, 0.94) of obesity; 9% higher odds (95% CI=0.99, 1.20) of meeting weekly RPA through walking; and 11% higher odds (95% CI=1.01, 1.22) of meeting RPA levels of vigorous exercise. The use of LRT to commute to work was associated with an average -1.18 reduction in BMI (p<0.05) and an 81% reduced odds (95% CI=0.04, 0.92) of becoming obese over time. Conclusions: The results of this study suggest that improving neighborhood environments and increasing the public's use of LRT systems could provide improvements in health outcomes for millions of individuals. © 2010 American Journal of Preventive Medicine.",no,no,no,Pre and post comparison around LRT completion with baseline and follow-up data; longitudinal/quasi-experimental
CS-004,25468,SCOPUS_ID:38649097528,10.1007/s10654-007-9217-z,"Comparison of allergic diseases, symptoms and respiratory infections between Finnish and Russian school children",European Journal of Epidemiology,2008,Cross-sectional,Other/None,Cross-sectional,FALSE,"['Allergic symptoms', 'Allergies', 'Asthma', 'Children', 'Respiratory infections']","Background: Little is known about differences in allergic and respiratory diseases between the Finnish and Russian populations. Methods: We conducted a population-based cross-sectional study to compare the occurrence of allergic diseases and respiratory infections among school children in the towns of Imatra in Finland and Svetogorsk in Russia on either side of the common border. The study population consisted of 512 Finnish and 581 Russian school children aged 7-16 years (response rate 79%). We used multiple logistic regression analysis to calculate odds ratios adjusting for age and gender. Results: The prevalences of asthma (6.7 vs. 3.9%, adjusted odds ratio (OR) 1.54, 95% confidence interval (CI 0.87-2.71), allergic rhinitis (15.2 vs. 8.8%, OR 1.81, 1.22-2.68), allergic conjunctivitis (4.7 vs. 3.2%, 1.33, 0.70-2.53), and atopic dermatitis (10.5 vs. 5.9%, 1.78, 1.12-2.83) were substantially higher among school children in Imatra compared to those in Svetogorsk, but the symptoms were more severe among allergic Russian children. Tonsillitis (adjusted OR 0.11, 95% CI 0.07-0.17), sinusitis (0.39, 0.24-0.63), bronchitis (0.41, 0.27-0.62) and pneumonia (0.19, 0.04-0.90) occurred less frequently in the Finnish children, whereas otitis media (2.37, 1.55-3.62) and common cold (4.07, 3.12-5.31) were more frequent in Finland. Conclusions: Allergic diseases are more common in Finnish than Russian school children, but the symptoms are more severe among allergic Russian children. Respiratory infections are in general more frequent in Russian children. ""Western"" lifestyle habits, differences in diagnostic procedures and environmental factors, and availability of health care and medications are discussed as possible explanations for the observed differences. © 2008 Springer Science+Business Media B.V.",yes,no,no,
CS-005,42885,SCOPUS_ID:84893704103,10.1016/j.ypmed.2013.12.032,"Association of depressive symptoms, trait anxiety, and perceived stress with subclinical atherosclerosis: Results from the Chicago healthy aging study (CHAS)",Preventive Medicine,2014,Cross-sectional,Other/None,Cross-sectional,FALSE,"['Ankle brachial index', 'Cardiovascular risk', 'Coronary artery calcification', 'Older adults', 'Population study', 'Psychological factors', 'Subclinical atherosclerosis']","Objective: Examine the association between multiple psychological factors (depressive symptoms, trait anxiety, perceived stress) and subclinical atherosclerosis in older age. Method: This cross-sectional study included 1101 adults ages 65-84 from the Chicago Healthy Aging Study (CHAS - 2007-2010). Previously validated self-report instruments were used to assess psychological factors. Non-invasive methods were used to assess subclinical atherosclerosis in two regions of the body, i.e., ankle-brachial blood pressure index (ABI) and coronary artery calcification (CAC). Multivariate logistic regression was used to examine the association between each psychological measure and subclinical atherosclerosis, after the adjustment for socio-demographic factors, sleep quality, young adulthood/early middle age and late-life CVD risk status, and psychological ill-being as appropriate. Results: The burden of major cardiovascular disease risk factors did not significantly differ across tertiles of psychological factors. In multivariate adjusted models, trait anxiety was associated with calcification: those in the second tertile were significantly more likely to have CAC >. 0 compared to those in the lowest anxiety tertile [OR = 1.68; 95% CI = 1.09-2.58], but no significant difference was observed for Tertile III of trait anxiety [OR = 1.31; 95% CI = 0.75-2.27]. No association was seen between psychological measures and ABI. Conclusion: Of several psychological factors, only trait anxiety was significantly associated with CAC. •Association between psychological factors and atherosclerosis in older age•1101 adults ages 65-84 from the Chicago Healthy Aging Study•Only trait anxiety was significantly associated with coronary artery calcification. © 2014.",yes,no,no,
CS-006,829,SCOPUS_ID:0027176858,10.1093/oxfordjournals.aje.a116757,Decrements in neurobehavioral performance associated with mixed exposure to organic and inorganic lead,American Journal of Epidemiology,1993,Other/None,Cross-sectional,Cross-sectional,FALSE,"['Central nervous system diseases', 'Cross-sectional studies', 'Lead', 'Nervous system', 'Neuropsychological tests', 'Neurotoxins', 'Peripheral nerve diseases', 'Tetraethyl lead']","In 1990, 222 current employees of a chemical facility in the eastern United States that manufactured tetraethyl lead were administered a neurobehavioral test battery, tests of olfactory function and peripheral vibration threshold, and questionnaires that assessed neuropsychiatric symptoms. A cumulative variable of exposure to inorganic and organic lead was derived from 12 years of personal industrial hygiene sampling data and an occupational history interview that assessed work in each of 29 exposure zones in the lead area. The range of assigned exposure intensities in these 29 zones was 4-119 μg/m3 for organic lead and 1-56 μg/m3 for inorganic lead. Cumulative lead exposure and exposure duration were defined as categorical variables (four groups) in multiple linear regression models. The adjusted mean differences in neurobehavioral test scores were estimated by comparing the average scores of the moderate, high, and highest exposure groups with the low exposure (reference) group. After adjustment for premorbid intellectual ability, age, race, and alcohol consumption, neurobehavioral test scores were poorer as measures of both cumulative lead exposure and exposure duration increased; many of the associations evidenced dose-response relations. Associations were observed in most cognitive and functional domains tested, but were most common in two domains: manual dexterity and verbal memory/learning. On the affected neuropsychologic measures, the groups with the highest exposure averaged scores 5-22% lower than those of the reference groups. Overall, the data revealed generally consistent and coherent associations between two measures of lead exposure and poorer neurobehavioral test performance. © 1993 by The Johns Hopkins University School of Hygiene and Public Health.",yes,yes,no,
CS-007,42600,SCOPUS_ID:84885868609,10.1016/j.ypmed.2013.09.007,Alcohol drinking patterns and health-related quality of life reported in the Spanish adult population,Preventive Medicine,2013,Cross-sectional,Other/None,Cross-sectional,FALSE,"['Alcohol', 'Binge drinking', 'Drinking patterns', 'Health-related quality of life', 'SF-12 questionnaire']","Objectives: To examine the association between alcohol drinking patterns and health-related quality of life (HRQL). Methods: Population-based cross-sectional study was conducted in 2008-2010 among 12,715 adult individuals in Spain. HRQL was assessed with the SF-12 questionnaire and alcohol intake with a diet history. The threshold between average moderate drinking and average heavy drinking was ≥ 40. g/day of alcohol in men and ≥ 24 g/day in women. Binge drinking was defined as the intake of ≥ 80 g in men and ≥ 60 g in women at any drinking session during the preceding 30. days. Analyses were performed with linear regression and adjusted for the main confounders. Results: Compared to non-drinkers, all types of average drinkers reported better scores on the SF-12 physical component: β = 1.42 (95% confidence interval 1.03 to 1.81) in moderate drinkers and β = 1.86 (1.07 to 2.64) in heavy drinkers. In contrast, average alcohol consumption was not associated with the mental component of the SF-12. The number of binge drinking episodes and most types of beverage preference showed no association with physical or mental HRQL. Conclusions: Alcohol drinkers, including those with heavy drinking, reported better physical HRQL than non-drinkers. © 2013 Elsevier Inc.",yes,no,no,
CS-008,27878,SCOPUS_ID:76249098495,10.1093/eurpub/ckp093,"Children's physical activity, TV watching and obesity in Cyprus: The CYKIDS study",European Journal of Public Health,2010,Cross-sectional,Other/None,Cross-sectional,TRUE,"['BMI', 'Cyprus', 'Obesity', 'Physical activity', 'Sedentary behaviour', 'Television']","Background: Even though there is a severe obesity problem in Cyprus, information about the contribution of predisposing lifestyle factors is limited. Our aim was to investigate the relationship between physical activity (PA), sedentary behaviour and various obesity indices [i.e. body mass index (BMI), waist circumference (WC), percentage of body fat (BF%) and 'total & abdominal obesity' (TAO)]. Methods: A national cross-sectional study of 1140 children (mean age = 10.7 ± 0.98 years) selected by multistage sampling in Cyprus was conducted during 2004-05. Children completed a 32-item, semi-quantitative PA questionnaire, which assessed organized and free-time PA and sedentary behaviours. Weight, height and WC were collected from a random sub-sample of 622 children and obesity was defined by IOTF criteria. Body fat percentage was calculated, and TAO status was computed based on obesity status and WC [i.e. (i) both BMI/WC, (ii) either BMI/WC abnormal and (iii) both BMI/WC abnormal]. Linear and logistic regression analyses with obesity indices as dependent variables were applied after adjusting for several potential confounders. Results: Only variables describing sedentary behaviours were retained in the final regression models in both boys and girls. Girls who spent ≥4 h/day on TV and DVD watching were almost three times more likely to be overweight or obese [OR = 2.84 (95% CI 1.08-7.47)], three times more likely to have WC ≥75th percentile [OR = 3.25 (95% CI 1.06-9.98)] and 3.5 times more likely to have ≥30% body fat [OR = 3.63 (95% CI 1.01-12.98)], while in boys, even though the same variable was retained in almost all final models, it did not reach statistical significance. Conclusion: Sedentary behaviours such as TV watching may be more important predictors of children's various obesity indices than PA behaviours. Interventions targeting sedentary behaviours, such as TV watching, may help in the prevention and treatment of obesity among Cypriot children.",yes,no,no,
CS-009,43333,SCOPUS_ID:84991467147,10.1016/j.ypmed.2016.09.021,Just how high-risk are ongoing smokers? Exploring clusters of health risk behaviours among current and ex-smokers,Preventive Medicine,2016,Cross-sectional,Other/None,Cross-sectional,TRUE,"['Clustering', 'Health risk behaviours', 'Smoking']","There is limited research about the patterns of multiple health risks among smokers, despite the associated increased risk of poor health. This study aimed to identify which risk behaviours were evident in a sample of smokers and ex-smokers who had previously been offered cessation support. A cross-sectional telephone interview in 2013 involved participants from New South Wales, Australia, from the control condition (self-help materials only) of a randomised smoking cessation trial conducted approximately five years earlier. The interview assessed smoking, weight, height, fruit and vegetable intake, physical activity, alcohol intake and depression. Of the 626 eligible participants, 321 were interviewed (consent rate = 85.6%, response rate = 51.3%); 62% were current smokers. Most participants (57%) reported four or five health risk behaviours. Three risk clusters were identified using latent class analysis: i) ‘high risk’ (42% of sample): smokers, overweight, inadequate intake of fruit and vegetables and low levels of physical activity; ii) ‘lower risk non-depressed’ (22% of sample): adequate physical activity and an absence of depression; and iii) ‘lower risk, low alcohol’ (36% of sample): low alcohol consumption, overweight and depressed. Males and current smokers were more likely to be ‘high risk’, while women and ex-smokers were more likely to be members of the ‘lower risk, low alcohol’ cluster. Those who continue to smoke have multiple additional health risks; as do ex-smokers in the ‘lower risk, low alcohol’ cluster. Achieving good health outcomes for these sizeable groups will require tailored, intensive or case-management approaches which can address multiple health risk behaviours.",yes,no,no,
CS-010,26505,SCOPUS_ID:85127708900,10.1007/s10654-022-00860-x,Development in life expectancy with good and poor cognitive function in the elderly European Population from 2004-05 to 2015,European Journal of Epidemiology,2022,Cross-sectional,Other/None,Cross-sectional,FALSE,"['Ageing', 'Cognitive function', 'Europe', 'Life Expectancy', 'Sullivan Method']","Background: Living not just longer, but also cognitively healthier, and more independent lives is essential if European countries are to cope with the financial challenges that the shifting age composition of Europe’s population presents. Here we investigate the change in life expectancy (LE) spent with good and poor cognitive function among older adults across Europe. Methods: LE with good/poor cognitive function was estimated by the Sullivan Method. Cross-sectional data on cognitive functioning was obtained from 23,213 (wave 1, 2004-05) and 40,874 (wave 6, 2015) 50+-year-olds of the Survey of Health, Ageing and Retirement in Europe (SHARE). Information on mortality was obtained from the Eurostat Database. Results for 70+-year-olds were emphasized. Results: LE with good cognitive function increased with 1.6 years from 10.7 years (95% CI: 10.6–10.9) in 2004-05 to 12.4 years (95% CI: 12.3–12.5) in 2015 for 70+-year-olds. Disparity was observed across sex and region. In 2004-05, a 70+-year-old woman could expect to spend 30.9% (95% CI: 29.4–32.4) of her remaining LE with poor cognitive function compared to 27.7% (95% CI: 26.0 -29.4) for men. In 2015, women (24.4% (95% CI: 23.4–25.3)) had considerably caught up with men (24.8% (95% CI:23.7.25.8)), shifting the pattern in favor of women. In 2004-05 and 2015, Northern Europeans had the lowest LE with poor cognitive function while Southern Europeans had the highest, but made the most improvement during the period. Conclusions: Overall we find that LE with poor cognitive function has been compressed in the European population of 70+-year-olds.",yes,no,no,
