journal,publication_year,title,abstract,keywords,doi,claim,llm_policy_claim
American Journal Of Preventive Medicine,2021,Differences in Quitline Registrants’ Characteristics During National Radio Versus Television Antismoking Campaigns,"Introduction: The Centers for Disease Control and Prevention's Tips From Former Smokers® campaign encourages smokers to get help with quitting smoking by promoting 1-800-QUIT-NOW. Campaign advertisements featuring an offer of help with obtaining free cessation medication aired nationally on radio for 2 weeks in 2016. Similar advertisements aired nationally on TV for 3 weeks in 2017. The comparison period of 2016 radio campaign and 2017 TV campaign was used to examine the characteristics of quitline registrants by a media referral source (TV or radio). Methods: Data on the number and demographics of quitline registrants in 2016 and 2017 were obtained from the Centers for Disease Control and Prevention's National Quitline Data Warehouse. The investigators conducted t-tests to assess the demographic differences between registrants who heard about the quitline through the radio advertisements and those who heard about it through the TV advertisements during the comparison period. This analysis was conducted in 2019. Results: The registrants who heard about the quitline from radio advertisements were more likely to be male, younger, and have more years of education. However, the registrants who heard about the quitline from TV advertisements were more likely to be Black, non-Hispanic, and have fewer years of education. Conclusions: The findings suggest that the demographic profiles of quitline registrants vary significantly based on how registrants hear about the quitline (via radio or TV). These differences in the characteristics of registrants can help inform the tobacco control mass media purchasing strategies and may enable media efforts to target the specific subgroups of smokers in a better way.",[],10.1016/j.amepre.2020.08.006,1,True
Preventive Medicine,2024,Joint associations of sedentary behavior and domain-specific physical activity on C-reactive protein in Korea,"Sedentary behavior (SB) and physical activity (PA) exert opposing effects on inflammatory markers. This study examined the associations of a more subdivided combination of PA and SB with high-sensitivity C-reactive protein (hs-CRP). Using the 2014–2019 Korean National Health and Nutrition Examination Survey, this cross-sectional study analyzed 20,541 adults. The independent variables were SB, defined as ≥10 h of sitting per day, and three domains of PA: occupational PA (OPA) during work, leisure-time PA (LPA) during leisure time, and transportation PA (TPA) or active commuting. The dependent variable was hs-CRP ≥ 1.0 mg/L. Besides exploring the individual association of SB and each PA with hs-CRP, the combined association of SB and each PA with hs-CRP was also examined using multiple logistic regression. The analyses indicated that concurrent exposure to SB and OPA (odds ratio [OR] 1.36, 95% confidence interval [CI] 1.02–1.80) significantly raised the likelihood of increased hs-CRP, while SB without LPA (OR 1.26, 95% CI 1.11–1.41) or TPA (OR 1.19, 95% CI 1.08–1.31) significantly increased risk of higher hs-CRP, compared to their respective reference. The absence of non-occupational PA such as LPA or TPA combined with SB was associated with the increased hs-CRP risk, whereas OPA increased the risk when present concurrently with SB. Reducing SB and OPA while increasing LPA and TPA, is necessary to reduce inflammatory conditions.","['C-reactive protein', 'Inflammatory marker', 'Occupational health practices', 'Physical activity', 'Sedentary behavior']",10.1016/j.ypmed.2024.107944,1,True
American Journal Of Preventive Medicine,2021,Severe Maternal Morbidity and Maternal Mortality in Women With Intellectual and Developmental Disabilities,"Introduction: Despite increased attention on severe maternal morbidity and maternal mortality, scant research exists on adverse maternal outcomes in women with disabilities. This study compares the rates of severe maternal morbidity and maternal mortality in women with and without intellectual and developmental disabilities. Methods: This study used 2004–2017 Healthcare Cost and Utilization Project Nationwide Inpatient Sample data. Analyses were conducted in 2019‒2020. The risk of severe maternal morbidity with and without blood transfusion and maternal mortality during delivery among women with and without intellectual and developmental disabilities were compared using modified Poisson regression analysis. Results: This study identified 32,324 deliveries to women with intellectual and developmental disabilities. Per 10,000 deliveries, 566 deliveries with severe maternal morbidity occurred in women with intellectual and developmental disabilities compared with 239 in women without intellectual and developmental disabilities. Women with intellectual and developmental disabilities had greater risk of both severe maternal morbidity (risk ratio=2.36, 95% CI=2.06, 2.69) and nontransfusion severe maternal morbidity (risk ratio=2.95, 95% CI=2.42, 3.61) in unadjusted analyses, which was mitigated in adjusted analyses for sociodemographic characteristics (risk ratio=1.74, 95% CI=1.47, 2.06; risk ratio=1.85, 95% CI=1.42, 2.41) and the expanded obstetric comorbidity index (risk ratio=1.23, 95% CI=1.04, 1.44; risk ratio=1.31, 95% CI=1.02, 1.68). The unadjusted incidence of maternal mortality in women with intellectual and developmental disabilities was 284 per 100,000 deliveries, nearly 4-fold higher than in women without intellectual and developmental disabilities (69 per 100,000 deliveries; risk ratio=4.07, 95% CI=2.04, 8.12), and the risk remained almost 3-fold higher after adjustment for sociodemographic characteristics (risk ratio=2.86, 95% CI=1.30, 6.29) and the expanded obstetric comorbidity index (risk ratio=2.30, 95% CI=1.05, 5.29). Conclusions: Women with intellectual and developmental disabilities are at increased risk of severe maternal morbidity and maternal mortality. These findings underscore the need for enhanced monitoring of the needs and maternal outcomes of women with intellectual and developmental disabilities in efforts to improve maternal health.",[],10.1016/j.amepre.2021.05.041,1,True
Journal Of Epidemiology And Community Health,2021,Impact of cuts to local government spending on Sure Start children’s centres on childhood obesity in England: A longitudinal ecological study,"Childhood obesity is rising in disadvantaged areas in England. Sure Start children’s centres provide community-based services for children <5 years and their parents, including many services that can support healthy weight, directly or indirectly. Since 2010, austerity-driven cuts to local authority (LA) budgets have led to substantially reduced public expenditure on Sure Start services. We assessed whether childhood obesity prevalence has increased more since 2010 in those areas in England that experienced greater cuts to spending on Sure Start. This longitudinal ecological study covers the period 2010/2011–2017/2018. Our exposure was LA expenditure on Sure Start, using Department for Education data. Our main outcome was LA obesity prevalence at age 4–5 years, using National Child Measurement Programme data. We used fixed-effects panel regression to quantify the association between change in spending and change in the prevalence of childhood obesity. Spending on Sure Start children’s centres decreased on average 53% over the study period, with deeper cuts in more deprived LAs. Each 10% spending cut was associated with a 0.34% relative increase in obesity prevalence the following year (95% CI 0.15% to 0.53%). We estimated there were an additional 4575 children with obesity (95% CI 1751 to 7399) and 9174 overweight or obese (95% CI 2689 to 15 660) compared with expected numbers had funding levels been maintained. Cuts to spending on Sure Start children’s centres were associated with increased childhood obesity. With deprived areas experiencing bigger spending cuts, reinvesting in these services may, alongside wider benefits for child development, contribute to reducing inequalities in childhood obesity.","['child health', 'obesity', 'public health policy', 'social epidemiology']",10.1136/jech-2020-216064,1,True
American Journal Of Public Health,2022,"Structural Inequities, HIV Community-Based Organizations, and the End of the HIV Epidemic","Community-based organizations (CBOs) are integral to achieving the goal of Ending the HIV epidemic (EHE). Their familiarity with and proximity to communities position them to effectively implement strategies necessary to address determinants of health through their formal and informal medical and social services. However, structural inequities have contributed to the demise of many organizations that were instrumental in early responses to the HIV epidemic. We define structural inequities for HIV CBOs as systems in which policies, institutional practices, organizational (mis)representations, and other norms work to produce and maintain inequities that affect CBOs’ ability to survive and thrive. In this discussion, we describe the organizational threats to grassroots HIV CBOs and the risks to livelihood and longevity, including examples. The invaluable role of HIV CBOs in EHE and their role in responding to existing and novel infectious diseases like COVID-19 should not be overlooked. Recommendations to promote structural equity are offered.",[],10.2105/AJPH.2021.306688,1,True
Preventive Medicine,2021,Healthcare lobbying on upstream social determinants of health in the US,"Healthcare stakeholders are increasingly investing to address social determinants of health (SDOH) as they seek to improve health outcomes and reduce total healthcare costs in their communities. Policy heavily shapes SDOH, and healthcare lobbying on SDOH issues may offer large impacts through positive policy change. Federal lobbying disclosures from the ten highest spending health insurance and healthcare provider organizations and related associations between 2015 and 2019 were reviewed to identify lobbying reported on the salient SDOH issues, defined based on the Accountable Health Communities Model health-related social needs screening tool. Five of the organizations reported lobbying on some SDOH issues, including financial strain, employment, food insecurity, and interpersonal safety, but none reported lobbying on other issues, such as non-healthcare-related employment, housing instability, transportation, or education. Lobbying has been a missed opportunity for addressing SDOH. Healthcare organizations have the opportunity to expand their lobbying on upstream SDOH policy issues to increase the impact of their SDOH strategy and further improve population health.","['Health policy', 'Healthcare reform', 'Social determinants of health']",10.1016/j.ypmed.2021.106751,1,True
American Journal Of Public Health,2021,Racial Disparities of E-Cigarette Use Among US Youths: 2014–2019,"Objectives. To evaluate disparities in youth e-cigarette use patterns and flavor use by race/ethnicity over time. Methods. We used data from the US 2014–2019 National Youth Tobacco Survey (NYTS) to examine trends in dual use (co-use of e-cigarettes and cigarettes or other tobacco products), occasional (# 5 days) versus frequent use ($ 20 days) in the past 30 days, and flavor use among current (past-30-day) e-cigarette users (n 5 13 178) across racial/ethnic groups (non-Hispanic Whites, non-Hispanic Blacks, Hispanics/Latinos, and non-Hispanic others). Results. Among current e-cigarette users, dual use and occasional use decreased significantly from 2014 to 2019 across racial and ethnic groups except for non-Hispanic Blacks; frequent use and flavored e-cigarette use increased among non-Hispanic Whites, Hispanics/Latinos, and non-Hispanic others but not among non-Hispanic Blacks. In 2019, non-Hispanic Black e-cigarette users were more likely to report dual use (adjusted odds ratio [AOR] 5 2.2; 95% confidence interval [CI] 5 1.5, 3.2; P, .001) and occasional use of e-cigarettes (AOR 5 3.7; 95% CI 5 2.3, 5.9; P, .001) but less likely to report frequent use (AOR 5 0.2; 95% CI 5 0.1, 0.4; P, .001) and flavored e-cigarette use (AOR 5 0.4; 95% CI 5 0.3, 0.5; P, .001) than their White peers. Conclusions. Youth e-cigarette use patterns differed considerably across racial/ethnic groups, and tailored strategies to address disparities in e-cigarette use are needed.",[],10.2105/AJPH.2021.306448,1,True
Preventive Medicine,2023,Prevalence and correlates of knife-related victimization: Insights from the 2019 Nationwide Emergency Department Sample,"Few studies have explored the incidence and general trends in knife-related victimizations in the United States (US), especially in settings where preventive interventions can potentially be initiated such as emergency departments (EDs). The goal of the present investigation was to provide an empirical portrait of the psychosocial and behavioral health characteristics of patients assaulted by sharp objects, particularly knives, as revealed in EDs in the US, as less research has focused on knife victimization in the US than internationally. This study uses data from the 2019 Nationwide Emergency Department Sample (NEDS), which is part of the Healthcare Cost and Utilization Project distributed by the Agency for Healthcare Research and Quality. Findings revealed that demographically males (especially those aged 18–25), those in poverty, and members of racially minoritized groups were more likely to be present with knife-related assault. Key factors increasing the odds of knife-related victimization treated in EDs were homelessness, legal involvement, and substance use, particularly alcohol and stimulant use disorder. Somewhat surprisingly, mental health diagnosis was not associated with increased knife-related victimization. Although EDs are critical to treating knife-related victimization, they are also potentially key points to launch prevention for high-risk individuals to reduce subsequent violence stemming from escalation of interpersonal disputes.","['Criminology', 'Emergency medicine', 'Exposure to violence', 'Health status disparities', 'Poverty', 'Substance use disorder', 'Victimization']",10.1016/j.ypmed.2023.107680,1,True
European Journal Of Public Health,2021,Can mental health competence reduce the higher risk of smoking initiation among teenagers with parents who smoke?,"Background: Parental smoking strongly influences adolescent smoking, yet few studies have examined factors that may protect against this. We investigated whether skills-based components of positive mental health ('mental health competence', MHC) modified the association between parental and teenager smoking, in the UKrepresentative Millennium Cohort Study (approximately 18 000 children, born 2000 02; analytic sample: n = 10 133). Methods: Cohort members (CMs) reported at 14 years (y) whether they had ever smoked cigarettes. A dichotomized variable indicated whether one/both parents smoked when CMs were 11 y. A four-class latent MHC measure captured learning skills and prosocial behaviours at 11 y: High, High Moderate, Moderate, Low. We examined effect measure modification (on the additive scale) by comparing risk differences (RDs) for CM smoking according to parental smoking, within each MHC class. We then estimated RDs for CM smoking according to combinations of parental smoking and MHC. Analyses accounted for confounding, sample design, attrition and item missingness. Results: CMs were more likely to smoke cigarettes if their parent(s) smoked (27%) than CMs with no parent(s) who smoked (11%; RD: 16%). When stratified by MHC, RDs were stronger for low MHC (21%; 95% CI 11 31%) than other MHC classes (ranging: 7 11%). Compared to CMs with high MHC and non-smoker parents, those with low MHC and parent(s) who smoked had an RD of 28% (95% CI 20 36%). This was greater than the sum of RDs for those with low MHC and non-smoker parent(s) [7% (2 14%)] plus those with high MHC and whose parent(s) smoked [11% (7 15%)]. There was limited effect measure modification by moderate or High Moderate MHC. Conclusion: Improving MHC to moderate levels may help reduce intergenerational transference of smoking.",[],10.1093/eurpub/ckab102,1,True
Journal Of Epidemiology And Community Health,2024,Effect of Universal Credit on young children's mental health: Quasi-experimental evidence from Understanding Society,"Background Child mental health has become an increasingly important issue in the UK, especially in the context of significant welfare reforms. Universal Credit (UC) has introduced substantial changes to the UK's social security system, significantly impacting low-income families. Our aim was to assess the effects of UC's introduction on children's mental health for families eligible for UC versus a comparable non-eligible sample. Methods Using Understanding Society data from 5806 observations of 4582 children (aged 5 or 8 years) in Great Britain between 2012 and 2018, we created two groups: children whose parents were eligible for UC (intervention group) and children whose parents were ineligible for UC (comparison group). Child mental health was assessed using a parent-reported Strengths and Difficulties Questionnaire. The OR and percentage point change in the prevalence of children experiencing mental health difficulties between the intervention group and the comparison group following the introduction of UC were analysed. We also investigated whether the utilisation of childcare services and changes in household income were mechanisms by which UC impacted children's mental health. Results Logistic regression results demonstrated that the prevalence of mental health problems among eligible children whose parents were unemployed increased by an OR of 2.18 (95% CI 1.14 to 4.18), equivalent to an 8-percentage point increase (95% CI 1 to 14 percentage points) following the introduction of UC, relative to the comparison group. Exploring potential mechanisms, we found neither reduced household income nor increased use of childcare services, which served as a proxy for reduced time spent with parents, significantly influenced children's mental health. Conclusions UC has led to an increase in mental health problems among recipient children, particularly for children in larger families and those aged 8. Policymakers should carefully evaluate the potential health consequences for specific demographics when introducing new welfare policies.","['CHILD HEALTH', 'ECONOMICS', 'HEALTH POLICY', 'MENTAL HEALTH']",10.1136/jech-2024-222293,1,True
